,tsne1,tsne2,tsne_clusters,soundpath
125,2.0650666,-0.35657483,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_213_19700101_122640_short.WAV
126,2.232874,1.0770893,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_214_19700101_122640_short.WAV
127,2.2672408,1.4261802,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_215_19700101_122640_short.WAV
128,2.3548236,1.5067753,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_216_19700101_122640_short.WAV
129,2.1348174,0.59080863,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_217_19700101_122640_short.WAV
130,1.9688979,0.9776516,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_218_19700101_122640_short.WAV
131,1.4094458,-0.84858006,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_219_19700101_122640_short.WAV
132,-8.86704,10.2984705,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_21_19700101_122640_short.WAV
133,2.0664356,-1.8901995,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_220_19700101_122640_short.WAV
134,3.3676844,1.4042228,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_221_19700101_122640_short.WAV
135,2.442385,1.2567048,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_222_19700101_122640_short.WAV
136,2.005162,0.21705666,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_223_19700101_122640_short.WAV
137,2.0607858,1.863692,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_224_19700101_122640_short.WAV
138,1.476362,-0.93333185,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_225_19700101_122640_short.WAV
139,1.2845479,-1.6602099,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_226_19700101_122640_short.WAV
140,-0.16084437,-4.0400095,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_227_19700101_122640_short.WAV
141,1.7958186,-4.1528964,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_228_19700101_122640_short.WAV
142,1.4958981,-4.871213,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_229_19700101_122640_short.WAV
143,-9.105843,10.301253,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_22_19700101_122640_short.WAV
